HOMEADV,FRIENDLY,HOME,AWAY,HG,AG,DATE
0,0,Qatar,Libya,2,0,1/2/2006
0,0,Egypt,Zimbabwe,2,0,1/5/2006
1,1,Togo,Guinea,0,1,1/7/2006
1,1,Morocco,Congo DR,3,0,1/9/2006
1,1,Togo,Ghana,1,0,1/11/2006
1,0,Tunisia,Libya,1,0,1/12/2006
1,0,Egypt,South Africa,1,2,1/14/2006
1,1,Morocco,Zimbabwe,1,0,1/14/2006
1,1,Senegal,Congo DR,0,0,1/14/2006
1,1,Tunisia,Ghana,2,0,1/15/2006
1,1,Côte d'Ivoire,Jordan,2,0,1/17/2006
0,1,Morocco,Angola,2,2,1/17/2006
1,0,Saudi Arabia,Sweden,1,1,1/18/2006
1,1,United Arab Emirates,Korea Republic,1,0,1/18/2006
1,1,Egypt,Libya,3,0,1/20/2006
1,1,Greece,Korea Republic,1,1,1/21/2006
0,1,Saudi Arabia,Finland,1,1,1/21/2006
0,1,Morocco,Côte d'Ivoire,0,1,1/21/2006
1,0,Cameroon,Angola,3,1,1/21/2006
1,0,Togo,Congo DR,0,2,1/21/2006
1,0,USA,Canada,0,0,1/22/2006
1,0,Tunisia,Zambia,4,1,1/22/2006
1,0,South Africa,Guinea,0,2,1/22/2006
1,1,Jordan,Sweden,0,0,1/23/2006
1,0,Nigeria,Ghana,1,0,1/23/2006
1,1,Zimbabwe,Senegal,0,2,1/23/2006
1,1,Libya,Côte d'Ivoire,1,2,1/24/2006
1,0,Egypt,Morocco,0,0,1/24/2006
1,0,Ecuador,Honduras,1,0,1/25/2006
1,1,Finland,Korea Republic,0,1,1/25/2006
1,0,Mexico,Norway,2,1,1/25/2006
1,1,Saudi Arabia,Greece,1,1,1/25/2006
0,0,Angola,Congo DR,0,0,1/25/2006
0,0,Cameroon,Togo,2,0,1/25/2006
1,1,Singapore,Denmark,1,2,1/26/2006
0,0,Zambia,Guinea,1,2,1/26/2006
0,0,Tunisia,South Africa,2,0,1/26/2006
1,1,Saudi Arabia,Lebanon,1,2,1/27/2006
0,0,Ghana,Senegal,1,0,1/27/2006
0,0,Nigeria,Zimbabwe,2,0,1/27/2006
1,0,Egypt,Côte d'Ivoire,3,1,1/28/2006
0,0,Libya,Morocco,0,0,1/28/2006
1,1,Hong Kong,Denmark,0,3,1/29/2006
0,1,Korea Republic,Croatia,2,0,1/29/2006
1,1,USA,Norway,5,0,1/29/2006
0,0,Cameroon,Congo DR,2,0,1/29/2006
0,0,Angola,Togo,3,2,1/29/2006
1,1,Bahrain,Syria,1,1,1/30/2006
0,0,Tunisia,Guinea,0,3,1/30/2006
0,0,Zambia,South Africa,1,0,1/30/2006
0,0,Nigeria,Senegal,2,1,1/31/2006
0,0,Ghana,Zimbabwe,1,2,1/31/2006
1,1,Hong Kong,Croatia,0,4,2/1/2006
0,1,Korea Republic,Denmark,1,3,2/1/2006
1,1,Thailand,Jordan,0,0,2/1/2006
1,1,Kuwait,Singapore,2,2,2/3/2006
0,0,Guinea,Senegal,2,3,2/3/2006
1,0,Egypt,Congo DR,4,1,2/3/2006
0,0,Nigeria,Tunisia,1,1,2/4/2006
0,0,Cameroon,Côte d'Ivoire,1,1,2/4/2006
0,1,Oman,Singapore,1,0,2/6/2006
1,1,Kuwait,Jordan,2,1,2/7/2006
1,1,Syria,Palestine,3,0,2/7/2006
0,0,Nigeria,Côte d'Ivoire,0,1,2/7/2006
1,0,Egypt,Senegal,2,1,2/7/2006
0,0,Senegal,Nigeria,0,1,2/9/2006
1,1,USA,Japan,3,2,2/10/2006
1,0,Egypt,Côte d'Ivoire,0,0,2/10/2006
0,1,Korea Republic,Costa Rica,0,1,2/11/2006
1,1,China PR,Honduras,0,1,2/12/2006
0,1,Oman,Iraq,1,0,2/13/2006
1,1,Jordan,Kazakhstan,2,0,2/14/2006
1,1,Qatar,Tajikistan,2,0,2/14/2006
1,1,Saudi Arabia,Syria,1,1,2/14/2006
1,1,Hong Kong,Singapore,1,1,2/15/2006
0,1,Mexico,Korea Republic,0,1,2/15/2006
1,1,Bahrain,Palestine,0,2,2/16/2006
1,1,Thailand,Iraq,4,3,2/16/2006
1,1,Hong Kong,India,2,2,2/18/2006
1,1,Japan,Finland,2,0,2/18/2006
0,1,Palestine,Pakistan,3,0,2/18/2006
1,1,New Zealand,Malaysia,1,0,2/19/2006
1,1,USA,Guatemala,4,0,2/19/2006
1,0,Yemen,Saudi Arabia,0,4,2/22/2006
1,0,Japan,India,6,0,2/22/2006
1,0,Syria,Korea Republic,1,2,2/22/2006
1,0,Iran,Chinese Taipei,4,0,2/22/2006
1,0,United Arab Emirates,Oman,1,0,2/22/2006
1,0,Jordan,Pakistan,3,0,2/22/2006
1,0,Lebanon,Kuwait,1,1,2/22/2006
1,0,Bahrain,Australia,1,3,2/22/2006
1,0,Singapore,Iraq,2,0,2/22/2006
1,0,China PR,Palestine,2,0,2/22/2006
1,0,Hong Kong,Qatar,0,3,2/22/2006
1,0,Uzbekistan,Bangladesh,5,0,2/22/2006
1,1,New Zealand,Malaysia,2,1,2/23/2006
1,1,Guyana,Antigua and Barbuda,2,1,2/24/2006
1,1,Malta,Moldova,0,2,2/25/2006
1,1,Benin,Equatorial Guinea,0,1,2/26/2006
1,1,Guyana,Antigua and Barbuda,4,1,2/26/2006
0,1,Moldova,Georgia,5,1,2/27/2006
0,1,Algeria,Burkina Faso,0,0,2/28/2006
1,1,Azerbaijan,Ukraine,0,0,2/28/2006
0,1,Bosnia-Herzegovina,Japan,2,2,2/28/2006
1,1,Cyprus,Slovenia,0,1,2/28/2006
0,1,Finland,Kazakhstan,0,0,2/28/2006
0,1,Greece,Belarus,1,0,2/28/2006
0,1,Iceland,Trinidad and Tobago,0,2,2/28/2006
0,1,Romania,Armenia,2,0,2/28/2006
1,1,Albania,Lithuania,1,2,3/1/2006
1,1,Austria,Canada,0,2,3/1/2006
0,1,Croatia,Argentina,3,2,3/1/2006
1,1,Cyprus,Armenia,2,0,3/1/2006
1,1,England,Uruguay,2,1,3/1/2006
0,1,Finland,Belarus,2,2,3/1/2006
1,1,France,Slovakia,1,2,3/1/2006
1,1,Iran,Costa Rica,3,2,3/1/2006
1,1,Republic of Ireland,Sweden,3,0,3/1/2006
1,1,Israel,Denmark,0,2,3/1/2006
1,1,Italy,Germany,4,1,3/1/2006
0,1,Kazakhstan,Greece,0,2,3/1/2006
1,1,Korea Republic,Angola,1,0,3/1/2006
1,1,Luxembourg,Belgium,0,1,3/1/2006
1,1,FYR Macedonia,Bulgaria,0,1,3/1/2006
1,1,Malta,Georgia,0,2,3/1/2006
0,1,Mexico,Ghana,1,0,3/1/2006
1,1,Netherlands,Ecuador,1,0,3/1/2006
1,1,Northern Ireland,Estonia,1,0,3/1/2006
1,1,Russia,Brazil,0,1,3/1/2006
0,1,Saudi Arabia,Portugal,0,3,3/1/2006
1,1,Scotland,Switzerland,1,3,3/1/2006
1,1,Senegal,Norway,2,1,3/1/2006
0,1,Slovenia,Romania,0,2,3/1/2006
1,1,Spain,Côte d'Ivoire,3,2,3/1/2006
1,1,Tunisia,Serbia,0,1,3/1/2006
1,1,Turkey,Czech Republic,2,2,3/1/2006
0,1,USA,Poland,1,0,3/1/2006
1,1,Venezuela,Colombia,1,1,3/1/2006
1,1,Wales,Paraguay,0,0,3/1/2006
1,0,India,Yemen,0,3,3/1/2006
1,0,Chinese Taipei,Syria,0,4,3/1/2006
1,0,Oman,Jordan,3,0,3/1/2006
1,0,Pakistan,United Arab Emirates,1,4,3/1/2006
1,0,Kuwait,Bahrain,0,0,3/1/2006
1,0,Iraq,China PR,2,1,3/1/2006
1,0,Palestine,Singapore,1,0,3/1/2006
1,0,Qatar,Uzbekistan,2,1,3/1/2006
1,0,Bangladesh,Hong Kong,0,1,3/1/2006
1,1,Equatorial Guinea,Congo,2,1,3/4/2006
1,1,Equatorial Guinea,Chad,1,1,3/6/2006
0,1,Central African Republic,Gabon,2,2,3/8/2006
0,1,Chad,Congo,0,0,3/8/2006
1,1,Equatorial Guinea,Gabon,0,0,3/11/2006
0,1,Chad,Gabon,2,2,3/14/2006
1,1,Saudi Arabia,Iraq,2,2,3/15/2006
1,1,Albania,Georgia,0,0,3/22/2006
1,1,Germany,USA,4,1,3/22/2006
1,1,Thailand,Philippines,5,0,3/26/2006
1,1,Saudi Arabia,Poland,1,2,3/28/2006
1,1,Equatorial Guinea,Benin,2,0,3/29/2006
0,1,Mexico,Paraguay,2,1,3/29/2006
1,1,Japan,Ecuador,1,0,3/30/2006
1,1,Bangladesh,Cambodia,2,1,4/1/2006
0,1,Chinese Taipei,Philippines,1,0,4/1/2006
0,1,Palestine,Guam,11,0,4/1/2006
0,1,Kyrgyzstan,Pakistan,0,1,4/2/2006
0,1,Nepal,Bhutan,2,0,4/2/2006
0,1,Sri Lanka,Brunei Darussalam,1,0,4/2/2006
0,1,Tajikistan,Macau,4,0,4/2/2006
0,1,Afghanistan,Chinese Taipei,2,2,4/3/2006
1,1,Bangladesh,Guam,3,0,4/3/2006
0,1,Cambodia,Palestine,0,4,4/3/2006
0,1,Bhutan,Sri Lanka,0,1,4/4/2006
0,1,Brunei Darussalam,Nepal,2,1,4/4/2006
0,1,Pakistan,Tajikistan,0,2,4/4/2006
1,1,Bangladesh,Palestine,1,1,4/5/2006
0,1,Philippines,Afghanistan,1,1,4/5/2006
0,1,Bhutan,Brunei Darussalam,0,0,4/6/2006
0,1,Cambodia,Guam,3,0,4/6/2006
0,1,Pakistan,Macau,2,2,4/6/2006
0,1,Sri Lanka,Nepal,1,1,4/6/2006
0,1,Tajikistan,Kyrgyzstan,0,1,4/6/2006
0,1,Macau,Kyrgyzstan,0,2,4/7/2006
0,1,Sri Lanka,Chinese Taipei,3,0,4/8/2006
0,1,Palestine,Kyrgyzstan,0,1,4/9/2006
1,1,Bangladesh,Tajikistan,1,6,4/10/2006
1,1,USA,Jamaica,1,1,4/11/2006
1,1,Azerbaijan,Turkey,1,1,4/12/2006
0,1,Sri Lanka,Nepal,1,1,4/12/2006
0,1,Tajikistan,Kyrgyzstan,2,0,4/13/2006
1,1,Lesotho,Swaziland,5,0,4/14/2006
1,1,Lesotho,Swaziland,2,2,4/16/2006
0,1,Sri Lanka,Tajikistan,0,4,4/16/2006
1,1,Chile,New Zealand,4,1,4/25/2006
1,1,Chile,New Zealand,1,0,4/27/2006
0,1,Angola,Mauritius,5,1,4/29/2006
1,1,Lesotho,Mozambique,0,0,4/29/2006
1,1,Lesotho,Angola,1,3,4/30/2006
0,1,Mauritius,Mozambique,0,0,4/30/2006
1,1,Poland,Lithuania,0,1,5/2/2006
1,1,United Arab Emirates,Syria,2,1,5/2/2006
0,1,Venezuela,Mexico,0,1,5/5/2006
1,1,Japan,Bulgaria,1,2,5/9/2006
1,1,Lesotho,South Africa,0,0,5/10/2006
1,1,Trinidad and Tobago,Peru,1,1,5/10/2006
0,1,Belgium,Saudi Arabia,2,1,5/11/2006
0,1,Scotland,Bulgaria,5,1,5/11/2006
1,1,Mexico,Congo DR,2,1,5/12/2006
1,1,Japan,Scotland,0,0,5/13/2006
1,1,Botswana,Zambia,0,0,5/14/2006
1,1,Poland,Faroe Islands,4,0,5/14/2006
0,1,Saudi Arabia,Togo,1,0,5/14/2006
1,1,Moldova,Azerbaijan,0,0,5/18/2006
1,1,Botswana,Madagascar,2,0,5/20/2006
1,1,Slovakia,Belgium,1,1,5/20/2006
0,1,South Africa,Swaziland,1,0,5/20/2006
1,1,Botswana,South Africa,0,0,5/21/2006
0,1,Madagascar,Swaziland,0,2,5/21/2006
0,1,Northern Ireland,Uruguay,0,1,5/21/2006
1,1,Austria,Croatia,1,4,5/23/2006
1,1,Korea Republic,Senegal,1,1,5/23/2006
0,1,Romania,Uruguay,0,2,5/23/2006
1,1,USA,Morocco,0,1,5/23/2006
1,1,Belgium,Turkey,3,3,5/24/2006
0,1,Ecuador,Colombia,1,1,5/24/2006
1,1,Hungary,New Zealand,2,0,5/24/2006
1,1,Republic of Ireland,Chile,0,1,5/24/2006
1,1,Norway,Paraguay,2,2,5/24/2006
1,1,Australia,Greece,1,0,5/25/2006
1,1,Sweden,Finland,0,0,5/25/2006
1,1,Korea Republic,Bosnia-Herzegovina,2,0,5/26/2006
0,1,Romania,Northern Ireland,2,0,5/26/2006
0,1,Saudi Arabia,Czech Republic,0,2,5/26/2006
0,1,Turkey,Ghana,1,1,5/26/2006
1,1,USA,Venezuela,2,0,5/26/2006
1,1,Denmark,Paraguay,1,1,5/27/2006
1,1,France,Mexico,1,0,5/27/2006
0,1,Georgia,New Zealand,1,3,5/27/2006
1,1,Germany,Luxembourg,7,0,5/27/2006
1,1,Netherlands,Cameroon,1,0,5/27/2006
1,1,Portugal,Cape Verde Islands,4,1,5/27/2006
0,1,Romania,Colombia,0,0,5/27/2006
1,1,Serbia,Uruguay,1,1,5/27/2006
1,1,Spain,Russia,0,0,5/27/2006
1,1,Switzerland,Côte d'Ivoire,1,1,5/27/2006
0,1,Wales,Trinidad and Tobago,2,1,5/27/2006
1,1,Croatia,Iran,2,2,5/28/2006
0,1,FYR Macedonia,Ecuador,2,1,5/28/2006
0,1,Morocco,Mali,0,1,5/28/2006
0,1,Turkey,Estonia,1,1,5/28/2006
1,1,Ukraine,Costa Rica,4,0,5/28/2006
1,1,USA,Latvia,1,0,5/28/2006
0,1,Jamaica,Ghana,1,4,5/29/2006
0,1,Argentina,Angola,2,0,5/30/2006
0,1,Chile,Côte d'Ivoire,1,1,5/30/2006
1,1,Czech Republic,Costa Rica,1,0,5/30/2006
1,1,England,Hungary,3,1,5/30/2006
1,1,Germany,Japan,2,2,5/30/2006
0,1,Libya,Uruguay,1,2,5/30/2006
1,1,Poland,Colombia,1,2,5/30/2006
1,1,Tunisia,Belarus,3,0,5/30/2006
1,1,Estonia,New Zealand,1,1,5/31/2006
1,1,France,Denmark,2,0,5/31/2006
0,1,Georgia,Paraguay,0,1,5/31/2006
1,1,Iran,Bosnia-Herzegovina,5,2,5/31/2006
0,1,Saudi Arabia,Turkey,0,1,5/31/2006
1,1,Singapore,Malaysia,0,0,5/31/2006
1,1,Slovenia,Trinidad and Tobago,3,1,5/31/2006
1,1,Switzerland,Italy,1,1,5/31/2006
1,1,Netherlands,Mexico,2,1,6/1/2006
1,1,Norway,Korea Republic,0,0,6/1/2006
0,1,Angola,Turkey,2,3,6/2/2006
1,1,Germany,Colombia,3,0,6/2/2006
0,1,Italy,Ukraine,0,0,6/2/2006
0,1,Libya,Belarus,1,1,6/2/2006
1,1,Liechtenstein,Togo,0,1,6/2/2006
1,1,Sweden,Chile,1,1,6/2/2006
1,1,Tunisia,Uruguay,0,0,6/2/2006
0,1,Croatia,Poland,0,1,6/3/2006
1,1,Czech Republic,Trinidad and Tobago,3,0,6/3/2006
1,1,England,Jamaica,6,0,6/3/2006
0,1,Luxembourg,Portugal,0,3,6/3/2006
1,1,Macau,Hong Kong,0,0,6/3/2006
1,1,Malaysia,Singapore,0,0,6/3/2006
1,1,Spain,Egypt,2,0,6/3/2006
1,1,Switzerland,China PR,4,1,6/3/2006
1,1,Algeria,Sudan,1,0,6/4/2006
0,1,Brazil,New Zealand,4,0,6/4/2006
0,1,Colombia,Morocco,2,0,6/4/2006
0,1,Ghana,Korea Republic,3,1,6/4/2006
0,1,Japan,Malta,1,0,6/4/2006
1,1,Netherlands,Australia,1,1,6/4/2006
0,1,Slovenia,Côte d'Ivoire,0,3,6/4/2006
0,1,Turkey,FYR Macedonia,0,1,6/4/2006
1,1,Ukraine,Libya,3,0,6/5/2006
0,1,Australia,Liechtenstein,3,1,6/7/2006
1,1,France,China PR,3,1,6/7/2006
0,1,Spain,Croatia,2,1,6/7/2006
1,1,Luxembourg,Ukraine,0,3,6/8/2006
1,0,Germany,Costa Rica,4,2,6/9/2006
0,0,Poland,Ecuador,0,2,6/9/2006
0,0,England,Paraguay,1,0,6/10/2006
0,0,Trinidad and Tobago,Sweden,0,0,6/10/2006
0,0,Argentina,Côte d'Ivoire,2,1,6/10/2006
0,0,Serbia,Netherlands,0,1,6/11/2006
0,0,Mexico,Iran,3,1,6/11/2006
0,0,Angola,Portugal,0,1,6/11/2006
0,0,Australia,Japan,3,1,6/12/2006
0,0,USA,Czech Republic,0,3,6/12/2006
0,0,Italy,Ghana,2,0,6/12/2006
0,0,Korea Republic,Togo,2,1,6/13/2006
0,0,France,Switzerland,0,0,6/13/2006
0,0,Brazil,Croatia,1,0,6/13/2006
1,0,Germany,Poland,1,0,6/14/2006
0,0,Spain,Ukraine,4,0,6/14/2006
0,0,Tunisia,Saudi Arabia,2,2,6/14/2006
0,0,Ecuador,Costa Rica,3,0,6/15/2006
0,0,England,Trinidad and Tobago,2,0,6/15/2006
0,0,Sweden,Paraguay,1,0,6/15/2006
0,0,Argentina,Serbia,6,0,6/16/2006
0,0,Netherlands,Côte d'Ivoire,2,1,6/16/2006
0,0,Mexico,Angola,0,0,6/16/2006
0,0,Portugal,Iran,2,0,6/17/2006
0,0,Czech Republic,Ghana,0,2,6/17/2006
0,0,Italy,USA,1,1,6/17/2006
0,0,Japan,Croatia,0,0,6/18/2006
0,0,Brazil,Australia,2,0,6/18/2006
0,0,France,Korea Republic,1,1,6/18/2006
0,0,Togo,Switzerland,0,2,6/19/2006
0,0,Saudi Arabia,Ukraine,0,4,6/19/2006
0,0,Spain,Tunisia,3,1,6/19/2006
1,0,Germany,Ecuador,3,0,6/20/2006
0,0,Costa Rica,Poland,1,2,6/20/2006
0,0,Sweden,England,2,2,6/20/2006
0,0,Paraguay,Trinidad and Tobago,2,0,6/20/2006
0,0,Portugal,Mexico,2,1,6/21/2006
0,0,Iran,Angola,1,1,6/21/2006
0,0,Netherlands,Argentina,0,0,6/21/2006
0,0,Côte d'Ivoire,Serbia,3,2,6/21/2006
0,0,Czech Republic,Italy,0,2,6/22/2006
0,0,Ghana,USA,2,1,6/22/2006
0,0,Japan,Brazil,1,4,6/22/2006
0,0,Croatia,Australia,2,2,6/22/2006
0,0,Saudi Arabia,Spain,0,1,6/23/2006
0,0,Ukraine,Tunisia,1,0,6/23/2006
0,0,Togo,France,0,2,6/23/2006
0,0,Switzerland,Korea Republic,2,0,6/23/2006
0,1,Malawi,Zimbabwe,1,1,6/24/2006
1,1,Mozambique,Swaziland,4,0,6/24/2006
1,0,Germany,Sweden,2,0,6/24/2006
0,0,Argentina,Mexico,2,1,6/24/2006
1,1,Mozambique,Malawi,1,2,6/25/2006
0,1,Swaziland,Zimbabwe,1,2,6/25/2006
0,0,England,Ecuador,1,0,6/25/2006
0,0,Portugal,Netherlands,1,0,6/25/2006
0,1,Mauritius,Tanzania,1,2,6/26/2006
0,0,Italy,Australia,1,0,6/26/2006
0,0,Switzerland,Ukraine,0,0,6/26/2006
0,0,Brazil,Ghana,3,0,6/27/2006
0,0,Spain,France,1,3,6/27/2006
1,1,Seychelles,Mauritius,2,1,6/28/2006
1,1,Seychelles,Tanzania,2,1,6/30/2006
1,0,Germany,Argentina,1,1,6/30/2006
0,0,Italy,Ukraine,3,0,6/30/2006
0,0,England,Portugal,0,0,7/1/2006
0,0,Brazil,France,0,1,7/1/2006
1,1,Kazakhstan,Tajikistan,4,1,7/2/2006
1,0,Germany,Italy,0,2,7/4/2006
1,1,Kazakhstan,Kyrgyzstan,1,0,7/5/2006
0,0,Portugal,France,0,1,7/5/2006
1,1,Malawi,Botswana,2,1,7/6/2006
1,1,Malawi,Botswana,0,0,7/8/2006
1,0,Germany,Portugal,3,1,7/8/2006
0,0,Italy,France,1,1,7/9/2006
1,1,Syria,Iraq,1,3,7/15/2006
1,1,Zambia,Zimbabwe,0,0,7/15/2006
1,1,Ethiopia,Yemen,1,0,7/17/2006
1,1,Jordan,Iraq,2,1,7/21/2006
0,1,Malawi,Zambia,1,3,7/22/2006
1,1,Namibia,Seychelles,1,1,7/22/2006
0,1,Malawi,Namibia,2,3,7/23/2006
0,1,Zambia,Seychelles,2,0,7/23/2006
1,1,Syria,Iraq,1,2,7/25/2006
1,1,Rwanda,Uganda,1,1,7/26/2006
1,1,Guyana,St. Lucia,3,2,7/28/2006
1,1,Guyana,St. Lucia,2,0,7/30/2006
1,1,Jordan,Syria,3,0,7/30/2006
1,1,Tanzania,Rwanda,1,0,7/30/2006
1,1,Syria,Libya,2,1,8/5/2006
1,1,Uganda,Botswana,0,0,8/5/2006
1,1,Iran,United Arab Emirates,1,0,8/8/2006
1,1,Japan,Trinidad and Tobago,2,0,8/9/2006
1,1,Jordan,Iraq,0,1,8/9/2006
1,1,Macau,Chinese Taipei,0,1,8/9/2006
1,1,Saudi Arabia,Bahrain,1,0,8/9/2006
1,1,China PR,Thailand,4,0,8/10/2006
1,1,Ethiopia,Kenya,1,0,8/11/2006
1,1,Hong Kong,Singapore,1,2,8/12/2006
1,1,Ethiopia,Kenya,0,0,8/13/2006
0,1,Algeria,Gabon,0,2,8/15/2006
0,1,Ghana,Togo,2,0,8/15/2006
1,1,Iceland,Spain,0,0,8/15/2006
1,1,Slovakia,Malta,3,0,8/15/2006
1,1,Slovenia,Israel,1,1,8/15/2006
1,1,Ukraine,Azerbaijan,6,0,8/15/2006
1,1,Wales,Bulgaria,0,0,8/15/2006
1,1,Austria,Hungary,1,2,8/16/2006
1,1,Belarus,Andorra,3,0,8/16/2006
1,1,Bosnia-Herzegovina,France,1,2,8/16/2006
0,1,Cameroon,Guinea,1,1,8/16/2006
1,1,Chile,Colombia,1,2,8/16/2006
0,1,Côte d'Ivoire,Senegal,0,1,8/16/2006
1,1,Czech Republic,Serbia,1,3,8/16/2006
1,1,Denmark,Poland,2,0,8/16/2006
1,1,Egypt,Uruguay,0,2,8/16/2006
1,1,England,Greece,4,0,8/16/2006
1,1,Finland,Northern Ireland,1,2,8/16/2006
1,1,Germany,Sweden,3,0,8/16/2006
0,1,Guatemala,Haiti,1,1,8/16/2006
1,1,Republic of Ireland,Netherlands,0,4,8/16/2006
1,1,Italy,Croatia,0,2,8/16/2006
1,1,Libya,Uganda,3,2,8/16/2006
1,1,Liechtenstein,Switzerland,0,3,8/16/2006
1,1,Luxembourg,Turkey,0,1,8/16/2006
1,1,Moldova,Lithuania,3,2,8/16/2006
1,1,Morocco,Burkina Faso,1,0,8/16/2006
1,1,Namibia,South Africa,0,1,8/16/2006
1,1,Norway,Brazil,1,1,8/16/2006
1,1,Peru,Panama,0,2,8/16/2006
1,1,Romania,Cyprus,2,0,8/16/2006
1,1,Russia,Latvia,1,0,8/16/2006
1,1,San Marino,Albania,0,3,8/16/2006
0,1,Tunisia,Mali,0,1,8/16/2006
1,1,Venezuela,Honduras,0,0,8/16/2006
1,0,India,Saudi Arabia,0,3,8/16/2006
1,0,Bangladesh,Qatar,1,4,8/16/2006
1,0,Iran,Syria,1,1,8/16/2006
1,0,Chinese Taipei,Korea Republic,0,3,8/16/2006
1,0,Pakistan,Oman,1,4,8/16/2006
1,0,Uzbekistan,Hong Kong,2,2,8/16/2006
1,0,Faroe Islands,Georgia,0,6,8/16/2006
1,0,Estonia,FYR Macedonia,0,1,8/16/2006
1,0,Japan,Yemen,2,0,8/16/2006
1,0,Australia,Kuwait,2,0,8/16/2006
1,0,Jordan,United Arab Emirates,1,2,8/16/2006
1,0,China PR,Singapore,1,0,8/16/2006
1,0,Belgium,Kazakhstan,0,0,8/16/2006
1,0,Palestine,Iraq,0,3,8/17/2006
1,1,Zambia,Botswana,1,0,8/19/2006
1,1,Malaysia,Indonesia,1,1,8/23/2006
0,1,Indonesia,Myanmar,0,0,8/25/2006
1,1,Swaziland,Lesotho,3,1,8/26/2006
1,1,Yemen,Libya,0,1,8/26/2006
1,1,Antigua and Barbuda,St. Vincent / Grenadines,1,0,8/27/2006
1,1,Malaysia,Myanmar,1,2,8/27/2006
1,1,Saudi Arabia,United Arab Emirates,1,0,8/27/2006
0,1,Indonesia,Myanmar,1,2,8/29/2006
1,1,Togo,Niger,1,1,8/29/2006
1,1,Uganda,Burkina Faso,0,0,8/29/2006
1,1,Yemen,Libya,1,1,8/29/2006
1,1,Denmark,Portugal,4,2,9/1/2006
1,1,Oman,Syria,3,0,9/1/2006
0,1,Austria,Costa Rica,2,2,9/2/2006
1,1,Bahrain,Jordan,0,2,9/2/2006
1,1,Barbados,Guyana,0,1,9/2/2006
1,1,Switzerland,Venezuela,1,0,9/2/2006
1,0,Gabon,Madagascar,4,0,9/2/2006
1,0,Egypt,Burundi,4,1,9/2/2006
1,0,Uganda,Lesotho,3,0,9/2/2006
1,0,Nigeria,Niger,2,0,9/2/2006
1,0,Kenya,Eritrea,1,2,9/2/2006
1,0,Tanzania,Burkina Faso,2,1,9/2/2006
1,0,Senegal,Mozambique,2,0,9/2/2006
1,0,South Africa,Congo,0,0,9/2/2006
1,0,Cuba,Turks and Caicos Islands,6,0,9/2/2006
1,0,Bahamas,Cayman Islands,3,1,9/2/2006
1,0,Scotland,Faroe Islands,6,0,9/2/2006
1,0,Northern Ireland,Iceland,0,3,9/2/2006
1,0,England,Andorra,5,0,9/2/2006
1,0,Malta,Bosnia-Herzegovina,2,5,9/2/2006
1,0,Korea Republic,Iran,1,1,9/2/2006
1,0,Georgia,France,0,3,9/2/2006
1,0,Hungary,Norway,1,4,9/2/2006
1,0,Belarus,Albania,2,2,9/2/2006
1,0,Slovakia,Cyprus,6,1,9/2/2006
1,0,Czech Republic,Wales,2,1,9/2/2006
1,0,Serbia,Azerbaijan,1,0,9/2/2006
1,0,Poland,Finland,1,3,9/2/2006
1,0,Luxembourg,Netherlands,0,1,9/2/2006
1,0,Germany,Republic of Ireland,1,0,9/2/2006
1,0,Italy,Lithuania,1,1,9/2/2006
1,0,Latvia,Sweden,0,1,9/2/2006
1,0,Romania,Bulgaria,2,2,9/2/2006
1,0,Moldova,Greece,0,1,9/2/2006
1,0,Estonia,Israel,0,1,9/2/2006
1,0,Spain,Liechtenstein,4,0,9/2/2006
1,1,Antigua and Barbuda,Dominica,1,0,9/3/2006
0,1,Brazil,Argentina,3,0,9/3/2006
1,0,Mauritania,Botswana,4,0,9/3/2006
1,0,Sudan,Seychelles,3,0,9/3/2006
1,0,Mauritius,Tunisia,0,0,9/3/2006
1,0,Rwanda,Cameroon,0,3,9/3/2006
1,0,Equatorial Guinea,Liberia,2,1,9/3/2006
1,0,Swaziland,Angola,0,2,9/3/2006
1,0,Guinea,Algeria,0,0,9/3/2006
1,0,Gambia,Cape Verde Islands,2,0,9/3/2006
1,0,Togo,Benin,2,1,9/3/2006
1,0,Sierra Leone,Mali,0,0,9/3/2006
1,0,Ethiopia,Libya,1,0,9/3/2006
1,0,Congo DR,Namibia,3,2,9/3/2006
1,0,Chad,Zambia,0,2,9/3/2006
1,0,Morocco,Malawi,2,0,9/3/2006
1,0,Saudi Arabia,Japan,1,0,9/3/2006
1,1,Canada,Jamaica,1,0,9/4/2006
1,0,Cuba,Bahamas,6,0,9/4/2006
1,0,Cayman Islands,Turks and Caicos Islands,0,2,9/4/2006
0,1,Brazil,Wales,2,0,9/5/2006
0,1,Austria,Venezuela,0,1,9/6/2006
0,1,Ecuador,Peru,1,1,9/6/2006
1,1,Guatemala,Panama,1,2,9/6/2006
1,1,Honduras,El Salvador,2,0,9/6/2006
1,1,Luxembourg,Latvia,0,0,9/6/2006
1,1,Switzerland,Costa Rica,2,0,9/6/2006
1,0,Cuba,Cayman Islands,7,0,9/6/2006
1,0,Bahamas,Turks and Caicos Islands,3,2,9/6/2006
1,0,Yemen,Japan,0,1,9/6/2006
1,0,Iraq,Palestine,2,2,9/6/2006
1,0,Iceland,Denmark,0,2,9/6/2006
1,0,Qatar,Bangladesh,3,0,9/6/2006
1,0,Lithuania,Scotland,1,2,9/6/2006
1,0,Syria,Iran,0,2,9/6/2006
