team,confederation,att,def,rat,log_rat,gdp,log_gdp,pop,log_pop,z_rat,z_gdp,z_pop,rat-gdp,rat-pop,p_rat-gdp,p_rat-pop
Senegal,CAF,2.32,0.75,3.093333333,1.129249258,15584,9.654000026,13508715,16.41884559,0.790448641,-0.283859478,0.460469459,0.970972564,0.542060237,895.8389446,740.1315176
Finland,UEFA,2.38,0.78,3.051282051,1.115561847,271165,12.51048277,5478002,15.51625099,0.780807017,0.917210815,0.072376012,0.197495528,0.74176564,600.9921492,810.8197431
Hungary,UEFA,1.94,0.69,2.811594203,1.033751654,137104,11.82849504,9849000,16.10288049,0.723178657,0.630454243,0.324612246,0.322233534,0.548074932,661.8627687,742.4425341
Montenegro,UEFA,2.01,0.71,2.830985915,1.040625031,4462,8.403352375,620029,13.33752153,0.728020369,-0.809721482,-0.864424,1.242972696,1.194311657,946.3722197,921.9578747
Algeria,CAF,1.91,0.68,2.808823529,1.032765723,214080,12.27410506,40400000,17.51434034,0.722484151,0.817820665,0.931505223,0.20238105,0.220007624,603.43437,603.0621406
Belarus,UEFA,1.96,0.7,2.8,1.029619417,76139,11.2403159,9481000,16.06480035,0.720267845,0.383141529,0.308238727,0.476604282,0.553996394,731.576174,744.7072562
South Africa,CAF,1.87,0.68,2.75,1.011600912,350082,12.76592269,54002000,17.80453164,0.707575332,1.024616086,1.056280335,0.055958142,0.137792081,528.9023449,564.9934797
Morocco,CAF,2.17,0.83,2.614457831,0.961056746,109201,11.6009455,33337529,17.32219432,0.671971243,0.534776089,0.848887164,0.331873818,0.214060902,666.4182786,600.3367359
Tunisia,CAF,1.61,0.64,2.515625,0.922521282,48553,10.79041126,10982754,16.21183678,0.644826268,0.193969342,0.37146077,0.521469082,0.444451313,750.3917498,701.1915167
Wales,UEFA,1.99,0.8,2.4875,0.91127819,100134.964,11.5142742,3063456,14.93505425,0.636906461,0.498333254,-0.177524275,0.319985305,0.732667364,660.7969218,807.8814948
Guinea,CAF,1.64,0.66,2.484848485,0.910211686,6529,8.784009071,10628972,16.17909404,0.636155199,-0.649666095,0.357382196,1.049318336,0.443374568,913.0397078,700.7475594
Albania,UEFA,1.68,0.69,2.434782609,0.889857475,13262,9.492658082,2893005,14.87780631,0.621817379,-0.351699207,-0.202139478,0.845484812,0.73085632,863.3697307,807.2933111
Jamaica,CONCACAF,1.82,0.76,2.394736842,0.873273347,13787,9.531481398,2717991,14.81540356,0.610135264,-0.335375099,-0.228971123,0.82342118,0.733647846,857.0128517,808.1994728
Mali,CAF,1.98,0.93,2.129032258,0.755667538,11915,9.38555339,16259000,16.60415716,0.52729192,-0.396733704,0.54014887,0.779599594,0.235922508,843.8027161,610.3309278
Canada,CONCACAF,1.54,0.73,2.109589041,0.746493161,1788717,14.39700916,35749600,17.39204964,0.520829348,1.710441865,0.878923232,-0.566947174,0.046716822,231.2751645,522.1223325
Iceland,UEFA,2.07,1.01,2.04950495,0.717598276,16693,9.722744749,329740,12.70605974,0.500475345,-0.254954264,-1.135937017,0.662616643,1.113227344,804.7257221,906.9274403
Uzbekistan,AFC,1.68,0.84,2,0.693147181,62619,11.04482403,31022500,17.25022331,0.483251617,0.300942721,0.817941402,0.291863396,0.042034171,647.3584291,519.9068488
Saudi Arabia,AFC,1.76,0.88,2,0.693147181,752459,13.53110179,31521418,17.26617781,0.483251617,1.346352278,0.824801446,-0.372977659,0.038333697,314.4389243,518.1556201
New Caledonia,OFC,1.67,0.85,1.964705882,0.675342556,11110,9.315600883,268767,12.50160011,0.470709765,-0.426146757,-1.223849623,0.741723032,1.130883958,831.7564848,910.3701923
New Zealand,OFC,1.78,0.9,1.977777778,0.68197388,198118,12.19661809,4594490,15.34036832,0.475380972,0.785239585,-0.003249208,-0.024001792,0.477133673,487.5942254,714.5220001
Gabon,CAF,1.45,0.73,1.98630137,0.686274301,17182,9.751617603,1751000,14.37569761,0.478410255,-0.242814044,-0.418033853,0.63283083,0.703907862,793.899451,798.4116381
