team,confederation,att,def,rat,log_rat,gdp,log_gdp,pop,log_pop,z_rat,z_gdp,z_pop,rat-gdp,rat-pop,p_rat-gdp,p_rat-pop
Barbados,CONCACAF,0.94,2.54,0.37007874,-0.994039485,4348,8.377471248,285000,12.56024446,-0.70522867,-0.820603765,-1.198633998,-0.183355622,-0.058656397,406.0982293,472.2319977
Suriname,CONCACAF,0.68,1.87,0.363636364,-1.011600912,5297,8.574895902,534189,13.18850499,-0.71759921,-0.737592275,-0.928497444,-0.248518339,-0.216745152,373.714344,398.4324484
Lesotho,CAF,0.63,1.72,0.36627907,-1.00435975,2159,7.677400431,2120000,14.56692665,-0.712498424,-1.114963765,-0.335810078,-0.003423517,-0.531354317,498.2302118,264.0083081
Maldives,AFC,0.54,1.52,0.355263158,-1.034896474,2854,7.956476798,341256,12.74038821,-0.734008963,-0.997620037,-1.121176623,-0.099560242,-0.129219079,448.6745466,439.017521
Curacao,CONCACAF,0.84,2.45,0.342857143,-1.070441412,5600,8.630521877,154843,11.95016698,-0.759047365,-0.714203124,-1.46095229,-0.304841112,0.029025761,346.4158697,513.749218
India,AFC,0.65,2.13,0.305164319,-1.186904896,2049501,14.53310691,1273860000,20.9653175,-0.841086038,1.767667122,2.41534041,-1.965255665,-2.143979281,5.43903998,5.445286661
Sao Tome e Principe,CAF,0.72,2.35,0.306382979,-1.182919395,341,5.831882477,187356,12.14076583,-0.83827859,-1.890951925,-1.378999478,0.364295524,-0.094412799,681.5567776,455.3622777
Hong Kong,AFC,0.6,2.01,0.298507463,-1.208960346,289628,12.57635262,7264100,15.79845497,-0.856622237,0.944907226,0.19371677,-1.457547598,-0.961117764,29.46603864,126.8468069
Afghanistan,AFC,0.56,1.89,0.296296296,-1.216395324,20312,9.918967123,27101365,17.11509465,-0.86185955,-0.172448299,0.759839409,-0.752188935,-1.271735371,164.8566944,65.48174301
South Sudan,CAF,0.64,2.21,0.28959276,-1.239279618,12833,9.459775257,11892934,16.291455,-0.877979599,-0.365525506,0.405694643,-0.645519162,-1.096821137,201.4458491,96.35821507
Aruba,CONCACAF,0.65,2.37,0.274261603,-1.293672871,2516,7.830425618,107394,11.58425959,-0.916295045,-1.050620997,-1.618283454,-0.248139712,-0.04335367,373.9002002,479.4687969
Swaziland,CAF,0.68,2.57,0.26459144,-1.32956838,3676,8.209580483,1119375,13.92828105,-0.941580394,-0.891197088,-0.610411955,-0.374812655,-0.612309369,313.5953701,233.5582118
St. Lucia,CONCACAF,0.62,2.43,0.255144033,-1.365927058,1356,7.212294469,185000,12.1281111,-0.967192008,-1.310527682,-1.384440698,-0.133745824,-0.220391091,431.2043873,396.7622862
Tuvalu,OFC,0.6,3.04,0.197368421,-1.622683139,38,3.63758616,11323,9.334591334,-1.148054948,-2.813591534,-2.585585401,0.641283162,0.246672577,797.0072299,615.2192168
Kyrgyzstan,AFC,0.32,1.64,0.195121951,-1.634130525,7402,8.909505513,5935400,15.59644498,-1.156118663,-0.596898387,0.106857451,-0.776513799,-1.213760166,157.1568823,74.7271055
Myanmar,AFC,0.82,4.25,0.192941176,-1.645369922,62802,11.0477422,51419420,17.75552648,-1.164035867,0.30216973,1.035209322,-1.35620442,-1.722452903,39.42665276,20.39857747
Mauritius,CAF,0.63,3.25,0.193846154,-1.640690456,13240,9.490997829,1261208,14.04758055,-1.160739579,-0.352397296,-0.559116109,-0.936628188,-0.859138779,112.433266,153.7899009
Tonga,OFC,0.45,2.48,0.181451613,-1.706766256,454,6.118097198,103252,11.54492788,-1.207284391,-1.770606721,-1.635195122,-0.081245289,-0.325220452,458.0775393,349.6624585
Bahamas,CONCACAF,0.47,2.83,0.166077739,-1.795299296,8657,9.066123521,368390,12.81689744,-1.269648429,-0.53104494,-1.088279538,-0.931923874,-0.68260403,113.6019166,208.7802523
Samoa,OFC,0.62,3.78,0.164021164,-1.807759811,826,6.716594774,187820,12.14323934,-1.278425807,-1.518955399,-1.377935931,-0.312427456,-0.53513372,342.7955256,262.5430383
Dominica,CONCACAF,0.47,2.87,0.163763066,-1.809334614,526,6.265301213,71293,11.17455342,-1.279535123,-1.708711592,-1.794447016,-0.192858989,-0.311566846,401.3292715,355.6849524
Seychelles,CAF,0.4,2.52,0.158730159,-1.840549633,1420,7.258412151,89949,11.40699812,-1.301523464,-1.2911365,-1.694501521,-0.480409341,-0.387468213,266.8007983,322.7016302
Cook Islands,OFC,0.48,3.06,0.156862745,-1.852384091,183.2,5.210578452,14974,9.614070643,-1.309859838,-2.152192715,-2.465416181,0.058853565,0.020045492,530.3950035,509.4963363
Pakistan,AFC,0.54,3.48,0.155172414,-1.863218433,250136,12.42976005,190293000,19.06407555,-1.317491716,0.883269192,1.597853195,-1.879217612,-2.179412513,7.443786454,4.822952549
Cayman Islands,CONCACAF,0.7,4.54,0.154185022,-1.869601956,2250,7.718685495,55691,10.92757383,-1.321988367,-1.097604562,-1.900642158,-0.623953259,-0.296735854,209.3948678,362.2678015
Bangladesh,AFC,0.45,3.36,0.133928571,-2.01044867,185415,12.13035183,158645000,18.88217956,-1.421202963,0.757376496,1.5196424,-1.902865853,-2.240934959,6.836412236,3.89157259
Laos,AFC,0.65,4.96,0.131048387,-2.032188657,11676,9.365290732,6802000,15.73272724,-1.436516945,-0.405253579,0.165455468,-1.178790951,-1.52576764,63.32022403,34.99293121
Chinese Taipei,AFC,0.4,3.1,0.129032258,-2.047692843,529550,13.17978287,23456545,16.97066012,-1.447438333,1.198632598,0.697736116,-2.209723462,-1.82381413,2.095776658,15.15703499
Comoros,CAF,0.44,3.46,0.12716763,-2.062249141,717,6.575075841,784745,13.5731141,-1.457692013,-1.578460113,-0.763124996,-0.453850908,-1.046043867,278.2315879,107.0662582
Sri Lanka,AFC,0.44,3.48,0.126436782,-2.068012846,74588,11.21973492,20675000,16.8444358,-1.461752056,0.374487808,0.643462768,-1.699912179,-1.808851491,13.80592887,15.84922765
Somalia,CAF,0.5,3.99,0.125313283,-2.076938411,2372,7.77148876,11123000,16.22452559,-1.468039362,-1.075402281,0.376916647,-0.784124067,-1.67135735,154.7972902,23.57754606
Andorra,UEFA,0.46,3.99,0.115288221,-2.16032002,4800,8.476371197,76949,11.25089814,-1.526774652,-0.77901913,-1.761620668,-1.031347863,-0.576513705,90.70482284,246.7767644
Montserrat,CONCACAF,0.42,4.34,0.096774194,-2.335374916,59,4.077537444,4922,8.501470231,-1.650086018,-2.628604448,-2.943806958,0.021607282,-0.062125091,511.1684686,470.5928086
Nepal,AFC,0.34,3.63,0.093663912,-2.36804231,19637,9.885170821,28037904,17.14906787,-1.673097433,-0.18665869,0.774447055,-1.554389546,-2.090852973,21.99489212,6.512268133
Cambodia,AFC,0.45,5.2,0.086538462,-2.447166322,16551,9.714201802,15405157,16.55021288,-1.728833607,-0.258546332,0.516954159,-1.56440789,-2.007691228,21.3225162,8.555014631
Turks and Caicos Islands,CONCACAF,0.43,5.17,0.083172147,-2.486842759,710,6.56526497,31458,10.3564086,-1.756782301,-1.582585306,-2.146229141,-0.750317728,-0.599054207,165.4589628,238.4067458
Timor-Leste,AFC,0.37,4.58,0.080786026,-2.515951271,4478,8.406931797,1212107,14.00787073,-1.777286785,-0.808216436,-0.576190356,-1.263291611,-1.466475722,50.81716406,40.79036363
Mongolia,AFC,0.17,2.15,0.079069767,-2.537424684,11981,9.391077341,3025482,14.92258098,-1.792412988,-0.394411039,-0.182887475,-1.541582441,-1.693759045,22.88042247,22.13587033
Guam,AFC,0.44,6,0.073333333,-2.612740021,4600,8.433811582,159358,11.97890852,-1.845466272,-0.796914246,-1.448594134,-1.338658865,-1.064059435,41.4020367,103.1729303
Brunei Darussalam,AFC,0.4,5.69,0.07029877,-2.65500098,15102,9.622582464,393372,12.88251101,-1.875235543,-0.297069675,-1.060067319,-1.686310433,-1.303409501,14.43958151,60.81962833
Djibouti,CAF,0.31,4.7,0.065957447,-2.71874549,1589,7.370860167,900000,13.71015004,-1.920138158,-1.243855286,-0.704202917,-1.129093105,-1.540274012,71.72189256,33.68258498
San Marino,UEFA,0.26,4.69,0.0554371,-2.89250623,1786,7.487733761,32789,10.39784837,-2.042537901,-1.194713241,-2.12841106,-1.282745335,-0.894421313,48.23736271,144.0690341
Macau,AFC,0.25,5.57,0.044883303,-3.103689415,51680,10.85282614,636200,13.36326826,-2.191298591,0.220213033,-0.853353541,-2.331345776,-1.730978978,1.259818694,19.90518013
Anguilla,CONCACAF,0.29,6.1,0.047540984,-3.046163127,175.4,5.16706908,13452,9.506883073,-2.150776187,-2.170487177,-2.511504197,-0.770428196,-0.796009863,159.0606772,172.2422584
Bhutan,AFC,0.32,7.46,0.042895442,-3.148989697,2092,7.645875825,762440,13.5442791,-2.223208808,-1.128218971,-0.775523339,-1.50570409,-1.804872695,25.52250376,16.0377923
US Virgin Islands,CONCACAF,0.27,7.5,0.036,-3.324236341,3792,8.240648863,106405,11.57500785,-2.346655244,-0.878133712,-1.622261477,-1.788195319,-1.471568027,10.24763971,40.26365287
American Samoa,OFC,0.16,6.71,0.023845007,-3.736180415,462.2,6.135997698,55519,10.92448058,-2.636834998,-1.763080067,-1.901972179,-1.515582564,-1.610865038,24.7707405,27.8699388
British Virgin Islands,CONCACAF,0.11,7.98,0.013784461,-4.284213325,1095,6.998509642,28054,10.2418865,-3.022877825,-1.400418162,-2.195470823,-2.132264686,-1.838587573,2.863616142,14.49923896
